_id,href,status,auctionDate,auctionId,adjustedMmrPrice,baseMmrPrice,auctionPrice,auctionTypes,carName,city,color,drivetrain,engine,fuelType,make,model,odometer,transmission,trim,vin,year
5fb350774880f7092047bbae,https://app.acvauctions.com/auction/2182362,4,11/2/2020,2182362,"$8,125 ","$8,175 ","$3,650 ",GREEN YELLOW,2008 Lincoln Mark LT,"Brattleboro, VT",Black,4WD,5.4L V8 EFI,Gas,Lincoln,Mark LT,167269,Automatic,FALSE,5LTPW18508FJ04190,2008
5fb34fcc4880f7092047badb,https://app.acvauctions.com/auction/2195511,4,11/5/2020,2195511,"$2,100 ","$2,150 ","$2,100 ",GREEN YELLOW,2006 Toyota Prius,"East Rutherford, NJ",Black,FWD,1.5L I4 EFI DOHC Hyb VVTi,Hybrid,Toyota,Prius,167282,Automatic,FALSE,JTDKB20U463133871,2006
5fb35e1d4880f7092047c164,https://app.acvauctions.com/auction/2097563,4,10/12/2020,2097563,"$2,100 ","$1,825 ","$2,500 ",GREEN YELLOW,2004 Honda Pilot EX,"Manhattan, KS",Black,4WD,3.5L V6 MPI SOHC VTEC,Gas,Honda,Pilot,167342,Automatic,EX,2HKYF18494H592456,2004
5fb350ed4880f7092047bc73,https://app.acvauctions.com/auction/2170663,4,10/29/2020,2170663,$800 ,$800 ,$700 ,GREEN YELLOW,2001 Audi A6,"West Hartford, CT",Tan,AWD,2.7L V6 SFI DOHC T/C,Gas,Audi,A6,167348,Automatic,FALSE,WAUED64B11N061951,2001
5fb34f614880f7092047ba28,https://app.acvauctions.com/auction/2203773,3,11/7/2020,2203773,,,"$3,500 ",GREEN YELLOW,2006 Chevrolet Silverado 2500 LS,"Attica, NY",Silver,4WD,6.0L V8 SFI,Gas,Chevrolet,Silverado 2500,167424,Automatic,LS,1GCHK23U66F252669,2006
5fb3503f4880f7092047bb63,https://app.acvauctions.com/auction/2187782,4,11/3/2020,2187782,"$1,225 ","$1,200 ",$950 ,GREEN YELLOW,2009 Pontiac G6 Base,"Fredericksburg, VA",Blue (Dark),FWD,3.5L V6 SFI Flex,Flex,Pontiac,G6,167578,Automatic,Base,1G2ZJ57K194260927,2009
5fb353604880f7092047becc,https://app.acvauctions.com/auction/2135529,4,10/22/2020,2135529,"$2,100 ","$1,825 ","$2,250 ",GREEN YELLOW,2004 Honda Pilot EX,"Troy, NY",Silver,4WD,3.5L V6 MPI SOHC VTEC,Gas,Honda,Pilot,167579,Automatic,EX,2HKYF18454H576402,2004
5fb4a7b869e8e51338183ade,https://app.acvauctions.com/auction/2131360,4,10/22/2020,2131360,"$3,050 ","$6,300 ","$2,200 ",GREEN YELLOW,2011 BMW 3-Series 328xi,"Mount Holly, NJ",Silver,AWD,3.0L I-6 EFI DOHC,Gas,BMW,3-Series,167590,Automatic,328xi,WBAPK5C58BF127086,2011
5fb3536f4880f7092047bee8,https://app.acvauctions.com/auction/2134283,3,10/21/2020,2134283,,,"$1,200 ",GREEN YELLOW,2004 Ford Explorer XLT,"Inver Grove Heights, MN",Silver,4WD,4.0L V6 EFI SOHC Flex,Flex,Ford,Explorer,167647,Automatic,XLT,1FMDU73K44UC26483,2004
5fb34f474880f7092047ba00,https://app.acvauctions.com/auction/2206153,4,11/9/2020,2206153,"$1,075 ","$1,075 ",$600 ,GREEN YELLOW,2002 Chevrolet Trailblazer LTZ,"Elmira, NY",Black,4WD,4.2L I-6 MPI DOHC,Gas,Chevrolet,Trailblazer,167701,Automatic,LTZ,1GNDT13S622191367,2002
5fb34fd94880f7092047bae0,https://app.acvauctions.com/auction/2195264,4,11/5/2020,2195264,"$1,075 ","$1,275 ","$1,450 ",GREEN YELLOW,2008 Dodge Avenger SE,"Joliet, IL",Blue,FWD,2.4L I-4 SFI DOHC,Gas,Dodge,Avenger,167703,Automatic,SE,1B3LC46K68N576373,2008
5fb354224880f7092047bf3e,https://app.acvauctions.com/auction/2129783,4,10/20/2020,2129783,FALSE,"$3,425 ","$4,000 ",GREEN YELLOW,2006 Ford F150 XLT,"Fitchburg, MA",Gray,4WD,5.4L V8 EFI SOHC,Gas,Ford,F150,167713,Automatic,XLT,1FTPX14576FA29507,2006
5fb357564880f7092047c089,https://app.acvauctions.com/auction/2111082,4,10/15/2020,2111082,FALSE,"$1,500 ","$1,050 ",GREEN YELLOW,2003 Toyota Corolla CE,"Rochester, NY",Silver,FWD,1.8L I-4 EFI DOHC,Gas,Toyota,Corolla,167766,Automatic,CE,JTDBR32E730040315,2003
5fb350a24880f7092047bbed,https://app.acvauctions.com/auction/2177982,4,10/31/2020,2177982,"$1,350 ","$1,300 ",$900 ,GREEN YELLOW,2004 Ford Explorer Eddie Bauer,"Leesburg, VA",Blue,4WD,4.6L V8 EFI SOHC,Gas,Ford,Explorer,167809,Automatic,Eddie Bauer,1FMZU74WX4ZA10602,2004
5fb35b674880f7092047c159,https://app.acvauctions.com/auction/2098080,4,10/13/2020,2098080,"$2,275 ","$2,625 ","$1,050 ",GREEN YELLOW,2008 Subaru Forester X,"Chicopee, MA",Red,AWD,2.5L H-4 MPI SOHC,Gas,Subaru,Forester,167823,Automatic,X,JF1SG65628H714851,2008
5fb34fe84880f7092047bb02,https://app.acvauctions.com/auction/2192843,4,11/5/2020,2192843,"$2,475 ","$2,600 ","$1,200 ",GREEN YELLOW,2008 Ford Edge Limited,"Roanoke, VA",Blue,AWD,3.5L V6 SFI DOHC 24V,Gas,Ford,Edge,167853,Automatic,Limited,2FMDK49C58BB17417,2008
5fb49a6f2f9e150d78526ed6,https://app.acvauctions.com/auction/2242754,4,11/17/2020,2242754,"$2,500 ","$3,450 ","$2,300 ",GREEN YELLOW,2010 Nissan Rogue SL,"Schenectady, NY",Brown,AWD,2.5L I-4 MPI DOHC,Gas,Nissan,Rogue,167877,Automatic,SL,JN8AS5MV1AW609568,2010
5fb352414880f7092047bdc2,https://app.acvauctions.com/auction/2151415,4,10/26/2020,2151415,FALSE,$900 ,$500 ,GREEN YELLOW,2000 Toyota Corolla CE,"Hempstead, NY",Gray,FWD,1.8L I-4 EFI DOHC,Gas,Toyota,Corolla,167917,Automatic,CE,2T1BR12E6YC358556,2000
5fb34e934880f7092047b8f5,https://app.acvauctions.com/auction/2221552,4,11/12/2020,2221552,$950 ,"$1,000 ",$575 ,GREEN YELLOW,2006 Nissan Murano SL,"Hempstead, NY",Silver,AWD,3.5L V6 MPI DOHC,Gas,Nissan,Murano,167919,Automatic,SL,JN8AZ08W06W536329,2006
5fb350864880f7092047bbd2,https://app.acvauctions.com/auction/2180307,4,11/3/2020,2180307,"$5,975 ","$5,975 ","$3,600 ",GREEN YELLOW,2007 Ford F150 XLT,"Quakertown, PA",Red,4WD,5.4L V8 SOHC Flex,Flex,Ford,F150,168062,Automatic,XLT,1FTPW14V77KA88763,2007
5fb350244880f7092047bb33,https://app.acvauctions.com/auction/2190594,4,11/4/2020,2190594,"$8,550 ","$8,900 ","$3,450 ",GREEN YELLOW,2009 Chevrolet Tahoe LT,"Newburgh, NY",Tan,4WD,5.3L V8 SFI Flex,Flex,Chevrolet,Tahoe,168100,Automatic,LT,1GNFK23089R230624,2009
5fb355fc4880f7092047c00e,https://app.acvauctions.com/auction/2114970,4,10/16/2020,2114970,$875 ,$875 ,$350 ,GREEN YELLOW,2007 Ford Focus ZX4 SES,"Queensbury, NY",Gray,FWD,2.0L I-4 SFI DOHC,Gas,Ford,Focus,168127,Automatic,ZX4 SES,1FAFP34NX7W342162,2007
5fb353234880f7092047be71,https://app.acvauctions.com/auction/2140645,4,10/22/2020,2140645,"$1,925 ","$2,100 ",$850 ,GREEN YELLOW,2008 Dodge Charger Base,"Reading, PA",Gray,RWD,2.7L V6 MPI DOHC,Gas,Dodge,Charger,168173,Automatic,Base,2B3KA43R88H324037,2008
5fb34ead4880f7092047b926,https://app.acvauctions.com/auction/2218881,3,11/11/2020,2218881,,,$400 ,GREEN YELLOW,1999 Pontiac Grand Prix GTP,"Cincinnati, OH",Red,FWD,3.8L V6 SFI S/C,Gas,Pontiac,Grand Prix,168227,Automatic,GTP,1G2WR1211XF340491,1999
5fb34ef74880f7092047b98c,https://app.acvauctions.com/auction/2214156,4,11/10/2020,2214156,"$2,200 ","$2,950 ","$1,250 ",GREEN YELLOW,2011 Ford Escape XLT,"Orchard Park, NY",Black,4WD,3.0L V6 SFI DOHC,Gas,Ford,Escape,168235,Automatic,XLT,1FMCU9DG5BKA54054,2011
5fb357564880f7092047c07d,https://app.acvauctions.com/auction/2111724,4,10/15/2020,2111724,"$2,325 ","$2,625 ","$2,550 ",GREEN YELLOW,2006 Nissan Xterra SE,"Bridgeport, CT",Silver,4WD,4.0L V6 MPI DOHC,Gas,Nissan,Xterra,168331,Automatic,SE,5N1AN08W46C528609,2006
5fb34fd94880f7092047baec,https://app.acvauctions.com/auction/2194506,4,11/5/2020,2194506,"$1,375 ","$1,225 ","$1,500 ",GREEN YELLOW,2004 Jeep Grand Cherokee Laredo,"Salisbury, MA",Tan,4WD,4.0L I-6 MPI,Gas,Jeep,Grand Cherokee,168358,Automatic,Laredo,1J4GW48S34C350229,2004
5fb4aa9569e8e51338183c25,https://app.acvauctions.com/auction/2112552,4,10/15/2020,2112552,"$2,775 ","$5,900 ","$2,800 ",GREEN YELLOW,2013 Subaru Impreza Limited,"Mahwah, NJ",Pearl,AWD,2.0L H-4 SMPI DOHC,Gas,Subaru,Impreza,168389,Automatic,Limited,JF1GJAK69DH005701,2013
5fb353054880f7092047be43,https://app.acvauctions.com/auction/2141408,4,10/22/2020,2141408,"$1,550 ","$1,775 ",$250 ,GREEN YELLOW,2005 Scion xB Base,"White River Junction, VT",Blue,FWD,1.5L I-4 EFI DOHC,Gas,Scion,XB,168499,Manual,Base,JTLKT334250179816,2005
5fb353144880f7092047be4e,https://app.acvauctions.com/auction/2141240,4,10/22/2020,2141240,"$1,125 ","$1,000 ",$900 ,GREEN YELLOW,2001 Honda Civic EX,"Hartford, CT",Silver,FWD,1.7L I-4 MPI SOHC,Gas,Honda,Civic,168554,Manual,EX,1HGEM21901L000861,2001
5fb352f74880f7092047be32,https://app.acvauctions.com/auction/2142115,4,10/23/2020,2142115,"$1,325 ","$3,075 ","$1,250 ",GREEN YELLOW,2011 Mini Cooper Base,"Latham, NY",White,FWD,1.6L I-4 EFI OHC,Gas,Mini,Cooper,168571,Manual,Base,WMWSU3C53BT099465,2011
5fb355b44880f7092047bfaf,https://app.acvauctions.com/auction/2120776,4,10/19/2020,2120776,$750 ,$800 ,$800 ,GREEN YELLOW,2007 Chevrolet Malibu LT,"Shenandoah, PA",Gray,FWD,2.2L I-4 MPI DOHC,Gas,Chevrolet,Malibu,168736,Automatic,LT,1G1ZT58F67F220361,2007
5fb350b14880f7092047bc10,https://app.acvauctions.com/auction/2176310,4,10/30/2020,2176310,"$2,950 ","$3,575 ","$1,850 ",GREEN YELLOW,2007 INFINITI G35 X,"Farmingdale, NY",Gray,AWD,3.5L V6 DOHC,Gas,INFINITI,G35,168738,Automatic,X,JNKBV61FX7M802329,2007
5fb352414880f7092047bdbc,https://app.acvauctions.com/auction/2152597,4,10/27/2020,2152597,"$1,425 ","$1,175 ",$800 ,GREEN YELLOW,2004 Scion xA,"Oaklyn, NJ",Maroon,FWD,1.5L I-4 MPI,Gas,Scion,XA,168808,Automatic,FALSE,JTKKT624940051675,2004
